candidate_id,family,preprocessing,parameters,selectable,scenario,role,target,sample_count,mae,rmse,r2,bias,absolute_error_p95,below_range_count,above_range_count,nrmse,fit_seconds,prediction_seconds
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,random_row,validation,kMc,1790,0.0004755567970204849,0.0009808828792689565,0.9955173196464442,5.9039106145256045e-05,0.0015466666666666962,0,0,0.01961765758537911,7.259212125092745,0.09523287508636713
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,random_row,validation,kMt,1790,0.0003550074487895721,0.0008232393322344391,0.9879324778167791,2.932029795158237e-05,0.0012028333333333797,0,0,0.03292957328937753,7.259212125092745,0.09523287508636713
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,random_row,test,kMc,1790,0.0004951247672253281,0.001029168877552493,0.9949929278380415,3.716201117318896e-05,0.0016951666666666697,0,0,0.02058337755104984,7.259212125092745,0.05371808307245374
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,random_row,test,kMt,1790,0.00036578957169460045,0.000886350922485104,0.9859277940630854,2.0359404096832493e-05,0.0013199999999999878,0,0,0.03545403689940413,7.259212125092745,0.05371808307245374
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,state_group,validation,kMc,1791,0.00041201191140889724,0.0008353656439201503,0.9966798654436538,6.31081332588932e-05,0.0015033333333333565,0,0,0.01670731287840299,7.5598932090215385,0.10093429172411561
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,state_group,validation,kMt,1791,0.0002861176251628524,0.0006749492241014001,0.9903732396266944,3.8892611204172356e-05,0.0010899999999999799,0,0,0.026997968964055978,7.5598932090215385,0.10093429172411561
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,state_group,test,kMc,1791,0.00041793783733482366,0.0008099022373696771,0.99672024462211,4.467150567653806e-05,0.0014250000000000096,0,0,0.016198044747393527,7.5598932090215385,0.05323562491685152
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,state_group,test,kMt,1791,0.0002759389540294055,0.0005920936574455878,0.9928376183190362,1.4487251070167507e-05,0.0009799999999999809,0,0,0.02368374629782349,7.5598932090215385,0.05323562491685152
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,compressor_holdout,validation,kMc,1170,0.003985851851851816,0.004829378904971855,-10.66145030389365,0.003985851851851825,0.007021500000000011,0,0,0.09658757809943701,8.445543291047215,0.07159624993801117
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,compressor_holdout,validation,kMt,1170,0.0010842535612535654,0.0022892015656484173,0.9068365545214722,0.0006692165242165227,0.003769833333333321,0,0,0.09156806262593661,8.445543291047215,0.07159624993801117
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,compressor_holdout,test,kMc,1170,0.009668495726495713,0.010488987462415233,-54.00942899335228,0.009668495726495705,0.018209166666666696,0,0,0.20977974924830448,8.445543291047215,0.020822917111217976
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,compressor_holdout,test,kMt,1170,0.002402364672364676,0.003969952339316963,0.71981294975203,0.0014177777777777765,0.011106833333333338,0,0,0.15879809357267838,8.445543291047215,0.020822917111217976
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,turbine_holdout,validation,kMc,2295,0.0018631561365286828,0.0030360558707877316,0.9574570680744098,0.0008423253449527972,0.007122999999999999,0,0,0.060721117415754575,6.181937832850963,0.055119417142122984
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,turbine_holdout,validation,kMt,2295,0.0035226434277414852,0.004032966788652421,-7.132410559186583,0.0035226434277414865,0.007022000000000038,0,0,0.1613186715460967,6.181937832850963,0.055119417142122984
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,turbine_holdout,test,kMc,2295,0.00451924328249819,0.00596939666005808,0.8355367854533283,0.001981755991285406,0.01317566666666668,0,0,0.1193879332011615,6.181937832850963,0.027757250238209963
random_forest_raw_leaf_1_features_1p0,random_forest,raw,"{""max_features"":1.0,""min_samples_leaf"":1,""n_estimators"":300}",True,turbine_holdout,test,kMt,2295,0.008829799564270166,0.009166534645646015,-41.01267870491524,0.008829799564270177,0.013488666666666657,0,0,0.36666138582584024,6.181937832850963,0.027757250238209963
