candidate_id,selectable,mean_nrmse,worst_target_nrmse,complexity_rank,selected
random_forest_raw_leaf_1_features_1p0,True,0.021852640921229485,0.026997968964055978,3,True
random_forest_raw_leaf_1_features_sqrt,True,0.023999694339990912,0.030028142888717583,3,False
ridge_speed_centered_alpha_0p01,True,0.02537134043441314,0.02743502932430145,2,False
ridge_speed_centered_alpha_0p1,True,0.02540110647753302,0.027492015703175443,2,False
ridge_speed_centered_alpha_1p0,True,0.02594838030958138,0.028531201109892126,2,False
random_forest_raw_leaf_3_features_1p0,True,0.025981151162435732,0.03144168604290619,3,False
random_forest_raw_leaf_3_features_sqrt,True,0.03034622858579307,0.037520181047178545,3,False
ridge_speed_centered_alpha_10p0,True,0.033012602589573774,0.041528875936987994,2,False
random_forest_raw_leaf_9_features_1p0,True,0.03984316202680465,0.04702817071023018,3,False
random_forest_raw_leaf_9_features_sqrt,True,0.04530546873875213,0.05503703388954724,3,False
ridge_speed_centered_alpha_100p0,True,0.052419258368016405,0.0718665011231831,2,False
ridge_raw_alpha_0p01,True,0.10891695793761973,0.1291060897018219,1,False
ridge_raw_alpha_0p1,True,0.1099989446762277,0.12946261613488022,1,False
ridge_raw_alpha_1p0,True,0.13638188551116523,0.1374847318712182,1,False
ridge_raw_alpha_10p0,True,0.1962899777173529,0.22530697594924598,1,False
ridge_raw_alpha_100p0,True,0.2496951567938342,0.26000069645846363,1,False
dummy_mean,False,0.28265140069324524,0.2900920104979726,0,False
