candidate_id,architecture,preprocessing,scenario,role,seed,target,sample_count,mae,rmse,r2,bias,absolute_error_p95,below_range_count,above_range_count,nrmse,training_source,training_seconds,best_epoch,trainable_parameter_count,prediction_seconds
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,random_row,validation,42,kMc,1790,0.00010777038150077065,0.00015692804676730777,0.9998852627063624,-2.686992760238423e-06,0.0003276275671842798,11,5,0.003138560935346153,final_fit,5.824921375140548,227,10076,0.001177166122943163
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,random_row,validation,42,kMt,1790,8.427319657741407e-05,0.00012480768565549036,0.9997226369895374,-2.3712424112694253e-05,0.0002675604266484887,36,19,0.0049923074262196105,final_fit,5.824921375140548,227,10076,0.001177166122943163
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,random_row,test,42,kMc,1790,0.00010672166662208168,0.00015766783801376635,0.9998824840579305,-1.1734128924938749e-06,0.0003160521370011604,8,9,0.0031533567602753244,final_fit,5.824921375140548,227,10076,0.000712208915501833
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,random_row,test,42,kMt,1790,8.107215755512007e-05,0.00011651850241816311,0.9997568128807104,-1.7395547005885217e-05,0.0002398607138891339,35,20,0.00466074009672652,final_fit,5.824921375140548,227,10076,0.000712208915501833
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,state_group,validation,42,kMc,1791,9.719395178708634e-05,0.00013955981082773127,0.9999073334042311,5.304111829398531e-06,0.00028226912260825854,0,0,0.002791196216554623,selection_checkpoint,4.472465999890119,203,10076,0.0007219999097287655
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,state_group,validation,42,kMt,1791,8.409757048186528e-05,0.00012225789755950718,0.999684142056904,1.1737942166235842e-05,0.0002465957449873102,0,0,0.004890315902380283,selection_checkpoint,4.472465999890119,203,10076,0.0007219999097287655
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,state_group,test,42,kMc,1791,0.00010047076739199404,0.00013962726153879306,0.9999025197360863,1.0376471672532173e-05,0.0002929305616862221,0,0,0.002792545230775859,selection_checkpoint,4.472465999890119,203,10076,0.0006760843098163605
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,state_group,test,42,kMt,1791,8.493350872948698e-05,0.00012555985818627803,0.9996779092327586,1.3058996280528483e-05,0.0002577945135897042,0,0,0.005022394327451117,selection_checkpoint,4.472465999890119,203,10076,0.0006760843098163605
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,compressor_holdout,validation,42,kMc,1170,0.00032442712277584794,0.0004411578451029315,0.9026898778520683,0.00016333829580728263,0.0008507397719483,0,0,0.008823156902058623,selection_checkpoint,3.2588730840943754,118,10076,0.0004908749833703041
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,compressor_holdout,validation,42,kMt,1170,0.00019676433347258856,0.0002597985914082085,0.9988000834115967,-6.354593380678839e-06,0.0005470803618622951,16,18,0.01039194365632833,selection_checkpoint,3.2588730840943754,118,10076,0.0004908749833703041
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,compressor_holdout,test,42,kMc,1170,0.0008110175815504081,0.0010290394587411482,0.4705388961768595,0.000694845337395437,0.002073879099914433,33,0,0.020580789174822946,selection_checkpoint,3.2588730840943754,118,10076,0.00047495774924755096
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,compressor_holdout,test,42,kMt,1170,0.0004410830246644429,0.0005510549550492467,0.994601572204723,-1.613327479483393e-05,0.001067905530335411,17,13,0.022042198201969846,selection_checkpoint,3.2588730840943754,118,10076,0.00047495774924755096
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,turbine_holdout,validation,42,kMc,2295,0.00047742464218214286,0.0006541955776339456,0.9980247452901732,5.73328773801092e-05,0.0013300504172559108,11,8,0.0130839115526789,selection_checkpoint,4.274829125031829,226,10076,0.0008208747021853924
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,turbine_holdout,validation,42,kMt,2295,0.00037341843516996705,0.00048237356528208,0.8836578717585293,0.00019202474728600746,0.000964333983539544,0,0,0.019294942611283183,selection_checkpoint,4.274829125031829,226,10076,0.0008208747021853924
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,turbine_holdout,test,42,kMc,2295,0.0014294045744881628,0.0017633877062972082,0.9856482944489842,0.0006911515935526427,0.0033772028186122667,2,23,0.03526775412594413,selection_checkpoint,4.274829125031829,226,10076,0.0009220000356435776
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,turbine_holdout,test,42,kMt,2295,0.0012370286593177664,0.001385014320752405,0.04086766565535671,0.0009956961274980602,0.002310289204056259,87,0,0.055400572830096154,selection_checkpoint,4.274829125031829,226,10076,0.0009220000356435776
