scenario,target,mae_random_forest,rmse_random_forest,r2_random_forest,bias_random_forest,absolute_error_p95_random_forest,nrmse_random_forest,mae_pytorch,rmse_pytorch,r2_pytorch,bias_pytorch,absolute_error_p95_pytorch,nrmse_pytorch,mae_delta,rmse_delta,r2_delta,bias_delta,absolute_error_p95_delta,nrmse_delta,nrmse_relative_change
compressor_holdout,kMc,0.0096684957264957,0.0104889874624152,-54.00942899335228,0.0096684957264957,0.0182091666666666,0.2097797492483044,0.0008110175815504081,0.0010290394587411482,0.4705388961768595,0.000694845337395437,0.002073879099914433,0.020580789174822946,-0.008857478144945292,-0.009459948003674052,54.47996788952914,-0.008973650389100262,-0.016135287566752168,-0.18919896007348144,-0.9018933464809197
compressor_holdout,kMt,0.0024023646723646,0.0039699523393169,0.71981294975203,0.0014177777777777,0.0111068333333333,0.1587980935726783,0.0004410830246644429,0.0005510549550492467,0.994601572204723,-1.613327479483393e-05,0.001067905530335411,0.022042198201969846,-0.001961281647700157,-0.003418897384267653,0.274788622452693,-0.001433911052572534,-0.01003892780299789,-0.13675589537070845,-0.8611935590279512
random_row,kMc,0.0004951247672253,0.0010291688775524,0.9949929278380416,3.716201117318896e-05,0.0016951666666666,0.0205833775510498,0.00010672166662208168,0.00015766783801376635,0.9998824840579305,-1.1734128924938749e-06,0.0003160521370011604,0.0031533567602753244,-0.0003884031006032183,-0.0008715010395386335,0.0048895562198888465,-3.8335424065682836e-05,-0.0013791145296654396,-0.017430020790774475,-0.8468008103891338
random_row,kMt,0.0003657895716946,0.0008863509224851,0.9859277940630854,2.0359404096832493e-05,0.0013199999999999,0.0354540368994041,8.107215755512007e-05,0.00011651850241816311,0.9997568128807104,-1.7395547005885217e-05,0.0002398607138891339,0.00466074009672652,-0.00028471741413947996,-0.0007698324200669369,0.013829018817624994,-3.7754951102717706e-05,-0.001080139286110766,-0.030793296802677582,-0.8685413424160774
state_group,kMc,0.0004179378373348,0.0008099022373696,0.99672024462211,4.467150567653806e-05,0.001425,0.0161980447473935,0.00010047076739199404,0.00013962726153879306,0.9999025197360863,1.0376471672532173e-05,0.0002929305616862221,0.002792545230775859,-0.00031746706994280593,-0.000670274975830807,0.003182275113976396,-3.4295034004005886e-05,-0.001132069438313778,-0.01340549951661764,-0.8275998569997024
state_group,kMt,0.0002759389540294,0.0005920936574455,0.9928376183190362,1.4487251070167508e-05,0.0009799999999999,0.0236837462978234,8.493350872948698e-05,0.00012555985818627803,0.9996779092327586,1.3058996280528483e-05,0.0002577945135897042,0.005022394327451117,-0.00019100544529991302,-0.00046653379925922194,0.006840290913722402,-1.4282547896390251e-06,-0.0007222054864101958,-0.018661351970372282,-0.7879391940660718
turbine_holdout,kMc,0.0045192432824981,0.005969396660058,0.8355367854533283,0.0019817559912854,0.0131756666666666,0.1193879332011615,0.0014294045744881628,0.0017633877062972082,0.9856482944489842,0.0006911515935526427,0.0033772028186122667,0.03526775412594413,-0.003089838708009937,-0.0042060089537607915,0.15011150899565584,-0.0012906043977327574,-0.009798463848054332,-0.08412017907521738,-0.7045953206466848
turbine_holdout,kMt,0.0088297995642701,0.009166534645646,-41.01267870491524,0.0088297995642701,0.0134886666666666,0.3666613858258402,0.0012370286593177664,0.001385014320752405,0.04086766565535671,0.0009956961274980602,0.002310289204056259,0.055400572830096154,-0.007592770904952334,-0.007781520324893596,41.053546370570594,-0.00783410343677204,-0.011178377462610342,-0.31126081299574404,-0.8489053525357841
