candidate_id,architecture,preprocessing,hidden_sizes,seed_count,kMc_nrmse_mean,kMc_nrmse_std,kMt_nrmse_mean,kMt_nrmse_std,mean_nrmse,worst_target_nrmse,trainable_parameter_count,architecture_rank,selected
linear_residual_mlp_speed_centered_hidden_128_64,linear_residual_mlp,speed_centered,"[128, 64]",3,0.002866311269714268,6.530753820061495e-05,0.004658597328845207,0.0002781730269085303,0.0037624542992797374,0.004658597328845207,10076,3,True
mlp_speed_centered_hidden_128_64,mlp,speed_centered,"[128, 64]",3,0.002950641098007459,0.00011518403781477643,0.00498711213290127,0.0002356975311195944,0.003968876615454364,0.00498711213290127,10050,2,False
linear_residual_mlp_speed_centered_hidden_64_32,linear_residual_mlp,speed_centered,"[64, 32]",3,0.0033306952304535393,0.00027832253527033685,0.004974246866593322,0.0004995361938508321,0.0041524710485234305,0.004974246866593322,3004,3,False
mlp_speed_centered_hidden_64_32,mlp,speed_centered,"[64, 32]",3,0.0033825486463968466,0.00022464167298913887,0.005136538662295906,0.00016257585252750972,0.004259543654346377,0.005136538662295906,2978,2,False
mlp_raw_hidden_128_64,mlp,raw,"[128, 64]",3,0.005902276229704202,0.0009689554749058109,0.00863231389335456,0.00026495898598473915,0.0072672950615293806,0.00863231389335456,10050,1,False
mlp_raw_hidden_64_32,mlp,raw,"[64, 32]",3,0.007956952444900035,0.0016700832695067242,0.012515356127865194,0.0014815543305421784,0.010236154286382615,0.012515356127865194,2978,1,False
