model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m2_random_forest,compressor_holdout,test,kMt,nominal_threshold,,1170,135,1035,31,31,0,1035,104,0.9,0.9,1.0,0.22962962962962963,0.37349397590361444,0.0,0.7703703703703704,0.7894689148921418,0.11538461538461539,True,
m2_random_forest,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,31,31,0,0,1139,0.9,0.9,,0.026495726495726495,,,0.9735042735042735,,1.0,False,single_class_all_positive
m2_random_forest,random_row,test,kMc,nominal_threshold,,1790,911,879,893,889,4,875,22,0.5,0.5,0.9955207166853304,0.9758507135016465,0.9855875831485588,0.004550625711035267,0.024149286498353458,0.9989373838013348,0.5089385474860335,True,
m2_random_forest,random_row,test,kMt,nominal_threshold,,1790,888,902,887,882,5,897,6,0.5,0.5,0.9943630214205186,0.9932432432432432,0.9938028169014085,0.005543237250554324,0.006756756756756757,0.9991313593544047,0.4960893854748603,True,
m2_random_forest,random_row,test,any,nominal_threshold,,1790,1324,466,1320,1312,8,458,12,0.5,0.5,0.9939393939393939,0.9909365558912386,0.9924357034795764,0.017167381974248927,0.00906344410876133,0.9995185106479518,0.7396648044692737,True,
m2_random_forest,random_row,test,kMc,nominal_threshold,,1790,733,1057,703,703,0,1057,30,0.6,0.6,1.0,0.9590723055934516,0.979108635097493,0.0,0.040927694406548434,0.9988621418102143,0.4094972067039106,True,
m2_random_forest,random_row,test,kMt,nominal_threshold,,1790,758,1032,713,712,1,1031,46,0.6,0.6,0.9985974754558204,0.9393139841688655,0.9680489462950373,0.0009689922480620155,0.06068601583113457,0.9986733777613767,0.423463687150838,True,
m2_random_forest,random_row,test,any,nominal_threshold,,1790,1161,629,1123,1122,1,628,39,0.6,0.6,0.9991095280498664,0.9664082687338501,0.9824868651488616,0.001589825119236884,0.03359173126614987,0.9994024194751594,0.6486033519553073,True,
m2_random_forest,random_row,test,kMc,nominal_threshold,,1790,543,1247,513,511,2,1245,32,0.7,0.7,0.9961013645224172,0.9410681399631676,0.9678030303030304,0.0016038492381716118,0.058931860036832415,0.9978809723454707,0.30335195530726256,True,
m2_random_forest,random_row,test,kMt,nominal_threshold,,1790,545,1245,543,540,3,1242,5,0.7,0.7,0.994475138121547,0.9908256880733946,0.9926470588235295,0.0024096385542168677,0.009174311926605505,0.9967728566223811,0.30446927374301674,True,
